20170921000000	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000002	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000004	0.0 0.0 0.0 30.8 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000006	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000008	0.0 0.0 0.0 30.8 66.3 0 0 0 0 0 0 1 0 0 0 0
20170921000010	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000013	0.0 0.0 0.0 30.8 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000015	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000017	0.0 0.0 0.0 30.7 66.3 0 0 0 0 0 0 1 0 0 0 0
20170921000019	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000021	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000023	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000025	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000027	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000029	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000031	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000033	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000035	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000037	0.0 0.0 0.0 30.8 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000040	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000042	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000044	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000046	0.0 0.0 0.0 30.8 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000048	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000050	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000052	0.0 0.0 0.0 30.8 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000054	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000056	0.0 0.0 0.0 30.8 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000058	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000100	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000102	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000104	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000107	0.0 0.0 0.0 30.7 66.2 0 0 0 0 0 0 1 0 0 0 0
20170921000109	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000111	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000113	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000115	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000117	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000119	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
20170921000121	0.0 0.0 0.0 30.7 66.1 0 0 0 0 0 0 1 0 0 0 0
