2017-09-16 16:37:00.326 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 16:37:00.704 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:07:23.657 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:07:24.352 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:20:08.892 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:20:09.248 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:20:31.279 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:20:31.771 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:22:01.303 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:22:01.910 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:23:59.058 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:23:59.551 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:41:35.032 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:41:35.549 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:42:25.210 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 18:42:25.717 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 19:00:07.410 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'testCache' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'testCache' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
2017-09-16 19:00:07.702 [main] WARN  net.sf.ehcache.config.CacheConfiguration - Cache 'null' is set to eternal but also has TTI/TTL set.  To avoid this warning, clean up the config removing conflicting values of eternal, TTI and TTL. Effective configuration for Cache 'null' will be eternal='true', timeToIdleSeconds='0', timeToLiveSeconds='0'.
